SampleNumber ,UNIXTimestamp,HeartRate,BloodOxygen,BodyTemp
0,1.62E+12,74,97,34
1,1.62E+12,77,97,30
2,1.62E+12,77,97,30
3,1.62E+12,77,97,30
4,1.62E+12,77,97,30
5,1.62E+12,77,97,30
6,1.62E+12,77,97,30
7,1.62E+12,77,97,30
8,1.62E+12,77,97,30
9,1.62E+12,77,97,30
10,1.62E+12,77,97,30
11,1.62E+12,77,97,30
12,1.62E+12,77,97,30
13,1.62E+12,77,97,30
14,1.62E+12,77,97,30
15,1.62E+12,77,97,30
16,1.62E+12,77,97,30
17,1.62E+12,77,97,30
18,1.62E+12,77,97,30
19,1.62E+12,77,97,30
20,1.62E+12,77,97,30
21,1.62E+12,77,97,30
22,1.62E+12,77,97,30
23,1.62E+12,77,97,30
24,1.62E+12,77,97,30
25,1.62E+12,77,97,30
26,1.62E+12,77,97,30
27,1.62E+12,77,97,30
28,1.62E+12,77,97,30
29,1.62E+12,77,97,30
30,1.62E+12,77,97,30
31,1.62E+12,77,97,30
32,1.62E+12,77,97,30
33,1.62E+12,77,97,30
34,1.62E+12,77,97,30
35,1.62E+12,77,97,30
36,1.62E+12,77,97,30
37,1.62E+12,77,97,30
38,1.62E+12,77,97,30
39,1.62E+12,77,97,30
40,1.62E+12,77,97,30
41,1.62E+12,77,97,30
42,1.62E+12,77,97,30
43,1.62E+12,77,97,30
44,1.62E+12,77,97,30
45,1.62E+12,77,97,30
46,1.62E+12,77,97,30
47,1.62E+12,77,97,30
48,1.62E+12,77,97,30
49,1.62E+12,77,97,30
50,1.62E+12,77,97,30
51,1.62E+12,77,97,30
52,1.62E+12,77,97,30
53,1.62E+12,77,97,30
54,1.62E+12,77,97,30
55,1.62E+12,77,97,30
56,1.62E+12,77,97,30
57,1.62E+12,77,97,30
58,1.62E+12,77,97,30
59,1.62E+12,77,97,30
60,1.62E+12,77,97,30
61,1.62E+12,77,97,30
62,1.62E+12,77,97,30
63,1.62E+12,77,97,30
64,1.62E+12,77,97,30
65,1.62E+12,77,97,30
66,1.62E+12,77,97,30
67,1.62E+12,77,97,30
68,1.62E+12,77,97,30
69,1.62E+12,77,97,30
70,1.62E+12,77,97,30
71,1.62E+12,77,97,30
72,1.62E+12,77,97,30
73,1.62E+12,77,97,30
74,1.62E+12,77,97,30
75,1.62E+12,77,97,30
76,1.62E+12,77,97,30
77,1.62E+12,77,97,30
78,1.62E+12,77,97,30
79,1.62E+12,77,97,30
80,1.62E+12,77,97,30
81,1.62E+12,77,97,30
82,1.62E+12,77,97,30
83,1.62E+12,77,97,30
84,1.62E+12,77,97,30
85,1.62E+12,77,97,30
86,1.62E+12,77,97,30
87,1.62E+12,77,97,30
88,1.62E+12,77,97,30
89,1.62E+12,77,97,30
90,1.62E+12,77,97,30
91,1.62E+12,77,97,30
92,1.62E+12,77,97,30
93,1.62E+12,77,97,30
94,1.62E+12,77,97,30
95,1.62E+12,77,97,30
96,1.62E+12,77,97,30
97,1.62E+12,77,97,30
98,1.62E+12,77,97,30
99,1.62E+12,77,97,30
100,1.62E+12,77,97,30
101,1.62E+12,77,97,30
102,1.62E+12,77,97,30
103,1.62E+12,77,97,30
104,1.62E+12,77,97,30
105,1.62E+12,77,97,30
106,1.62E+12,77,97,30
107,1.62E+12,77,97,30
108,1.62E+12,77,97,30
109,1.62E+12,77,97,30
110,1.62E+12,77,97,30
111,1.62E+12,77,97,30
112,1.62E+12,77,97,30
113,1.62E+12,77,97,30
114,1.62E+12,77,97,30
115,1.62E+12,77,97,30
116,1.62E+12,77,97,30
117,1.62E+12,77,97,30
118,1.62E+12,77,97,30
119,1.62E+12,77,97,30
120,1.62E+12,77,97,30
121,1.62E+12,77,97,30
122,1.62E+12,77,97,30
123,1.62E+12,77,97,30
124,1.62E+12,77,97,30
125,1.62E+12,77,97,30
126,1.62E+12,77,97,30
127,1.62E+12,77,97,30
128,1.62E+12,77,97,30
129,1.62E+12,77,97,30
130,1.62E+12,77,97,30
131,1.62E+12,77,97,30
132,1.62E+12,77,97,30
133,1.62E+12,77,97,30
134,1.62E+12,77,97,30
135,1.62E+12,77,97,30
136,1.62E+12,77,97,30
137,1.62E+12,77,97,30
138,1.62E+12,77,97,30
139,1.62E+12,77,97,30
140,1.62E+12,77,97,30
141,1.62E+12,77,97,30
142,1.62E+12,77,97,30
143,1.62E+12,77,97,30
144,1.62E+12,77,97,30
145,1.62E+12,77,97,30
146,1.62E+12,77,97,30
147,1.62E+12,77,97,30
148,1.62E+12,77,97,30
149,1.62E+12,77,97,30
150,1.62E+12,77,97,30
151,1.62E+12,77,97,30
152,1.62E+12,77,97,30
153,1.62E+12,77,97,30
154,1.62E+12,77,97,30
155,1.62E+12,77,97,30
156,1.62E+12,77,97,30
157,1.62E+12,77,97,30
158,1.62E+12,77,97,30
159,1.62E+12,77,97,30
160,1.62E+12,77,97,30
161,1.62E+12,77,97,30
162,1.62E+12,77,97,30
163,1.62E+12,77,97,30
164,1.62E+12,77,97,30
165,1.62E+12,77,97,30
166,1.62E+12,77,97,30
167,1.62E+12,77,97,30
168,1.62E+12,77,97,30
169,1.62E+12,77,97,30
170,1.62E+12,77,97,30
171,1.62E+12,77,97,30
172,1.62E+12,77,97,30
173,1.62E+12,77,97,30
174,1.62E+12,77,97,30
175,1.62E+12,77,97,30
176,1.62E+12,77,97,30
177,1.62E+12,77,97,30
178,1.62E+12,77,97,30
179,1.62E+12,77,97,30
180,1.62E+12,77,97,30
181,1.62E+12,77,97,30
182,1.62E+12,77,97,30
183,1.62E+12,77,97,30
184,1.62E+12,77,97,30
185,1.62E+12,77,97,30
186,1.62E+12,77,97,30
187,1.62E+12,77,97,30
188,1.62E+12,77,97,30
189,1.62E+12,77,97,30
190,1.62E+12,77,97,30
191,1.62E+12,77,97,30
192,1.62E+12,77,97,30
193,1.62E+12,77,97,30
194,1.62E+12,77,97,30
195,1.62E+12,77,97,30
196,1.62E+12,77,97,30
197,1.62E+12,77,97,30
198,1.62E+12,77,97,30
199,1.62E+12,77,97,30
200,1.62E+12,77,97,30
201,1.62E+12,77,97,30
202,1.62E+12,77,97,30
203,1.62E+12,77,97,30
204,1.62E+12,77,97,30
205,1.62E+12,77,97,30
206,1.62E+12,77,97,30
207,1.62E+12,77,97,30
208,1.62E+12,77,97,30
209,1.62E+12,77,97,30
210,1.62E+12,77,97,30
211,1.62E+12,77,97,30
212,1.62E+12,77,97,30
213,1.62E+12,77,97,30
214,1.62E+12,77,97,30
215,1.62E+12,77,97,30
216,1.62E+12,77,97,30
217,1.62E+12,77,97,30
218,1.62E+12,77,97,30
219,1.62E+12,77,97,30
220,1.62E+12,77,97,30
221,1.62E+12,77,97,30
222,1.62E+12,77,97,30
223,1.62E+12,77,97,30
224,1.62E+12,77,97,30
225,1.62E+12,77,97,30
226,1.62E+12,77,97,30
227,1.62E+12,77,97,30
228,1.62E+12,77,97,30
229,1.62E+12,77,97,30
230,1.62E+12,77,97,30
231,1.62E+12,77,97,30
232,1.62E+12,77,97,30
233,1.62E+12,77,97,30
234,1.62E+12,77,97,30
235,1.62E+12,77,97,30
236,1.62E+12,77,97,30
237,1.62E+12,77,97,30
238,1.62E+12,77,97,30
239,1.62E+12,77,97,30
240,1.62E+12,77,97,30
241,1.62E+12,77,97,30
242,1.62E+12,77,97,30
243,1.62E+12,77,97,30
